âba	abe
dângka	aflive
darra	ryster. dirre
darrelse (fizzel)	sky på leverpostej
darrhænder	ryster på hænder af alderdom
datla	dadle, udsætte på
dâua	due
dâuinj	doven
ded	det
demme	derfor
div	dyb
dokka	dukke
domm	dum
dorras	deres
dovvel	dobbelt
drâfâul	trækfugl
drekk op	drik op
drikka	drikka
droz	bundfald
drudas	skæmte, spøge
dræmma te	slå til
dundra	svire (drikke tur)
duzemânk	utilpas, sløj
duzemânker	utilpas, sløj
dynjastâ	møddingplads
dyza	sove
dæmmenså	basta
dænj	den
dænja	denne
dætta	dette
dæv	døv
dæwlahætta	rappenskralle
dø	tager død på
døblø	blodsamling (under huden)
dølla	skjule, holde hemmeligt
dømmeløggan	påskeugen
dønnar	torden i det fjerne
døppa	sovs, dyppelse
dørrakâr	dørkarm
døtter	datter
dålsada	klosede
dolsa	dovne, smøle
domma	døvstum
drabba	(mand)være langsom, gå og smøle
draddhasa	(kvinde) være langsom, gå og smøle
duggas	der falder dug
dÿrka	blive dyrere, stige i pris
däjggjes	forkælet barn, kæledægge
dämm	mængde
däwlast	mareridt
däwlskaw	djævelskab, spøgeri
dögg	dug, borddug
dölla	skjule, hemmeligt
döller	doven, sløv, langsom, lad
dömnijng	mening, omdømme
dönna	torden
dönnasjy	tordensky
döppa	dyppelse, sauce
dössen	dussin
dalkes	person der går sløvt
dallbâg	forside på svinets hals
dâmajn	morgentøvejr
dâuestol	kornblomst
di sælle	gårdejerfolkene
diggedâr	underlige gebærder
dommedera	kommandere, irettesætte
draddhâz	en, der taber alting
drudas	skæmte, spøge
duzemânk  (er)	træt, utilpas
døinj	genfærd
eddernæjla	brændenælde
edja	tang på strand
enbâr	udelukkend
enjhijlu	mange, en hel del
enjstâ	et sted
ensammer	ensom
enj	en
eina	formaa, være i stand til, overkomme
eita	ægte, (om personer)
eitakvijnna	ægtehustru
eitamanj	ægtemand
enetapp	enebærbusk
ej   (er)	øm i tænderne
ejn knævær	lille mandsperson
ellestingeren	de underjordiske konge
en re	beplantet mark skel
enj dundra	kraftig kvindfolk
enj gjera	det nederste af en skjorte
jønkel	bylt
enj harra	4 fed garn
enj niva	så meget der kan være mellem 2 fingre
enj sagga	langsomt kvindfolk
enj sjinjara	sommerfugl
enj spåmanj	uverhæftig person
enjhijlu	en hel masse
et grøssen	144 stykker
enj bonaryna	en gammel so
dæktara	løgnhals
løvvenasjytt	vagabond
fajlenes fod	gravid
faninj	fanden
faninjatromma	rappenskralde
fanjkinj	fanden
fâr	far
fara	fare
fâra	fare
farres	larme uregerligt
farru	lige ved
farruer	lige ved
farsk	fersk
fâstlan	fastelavn
fatti	fattig
fattier	fattig
fâua	fuge
fâza	fart
figgafagga	pakkenelliker
firafittes	firspring
firavinja	guldsmed (insekt)
firk	en fire i et kortspil
fiskasø	fiskesuppe
fiskje	efterår
fislønkad	lunken (om temperatur)
fiza	lydløs prut
fjællstaun	nattergal
flabbatas	kæphøj / fræk
flabbatass	flab, uforskammet person
flakkar	fod
flarka	kradse i jorden
flarka	spjætte med benene
flarra	rive itu
flarra	flænge (f.eks i tøj )
flâua	flue
flina	grine ondskabsfuldt
flissa	fnise
flojbor	klapbord
flækkja	flække
flærka	drive omkring
flødd	fløde
flå	korkstykke der bindes på sildegarn
fnatta	arbejde hårdt/ skynde sig
fnâza	tølperagtige mandfolk, ustyrlige drenge
fobojl	fodbold
foje	næsten ikke, knap nok
fondass	måde
fondass	facon
fondass	manér
for	før
fordâzad	forslæbt
fordâzad	udslidt
fordæggja	forkælet
forfundrad	tømmermænd
forfundrader	tømmermænd
forfærra	forskrække
forgat	glemt
forgjædda	glemme
forgjøjemaj	en bedyrende ed i lighed med fårbainjemaj
forgrysa	forundre
forgryza	forbavses
forhâua	fortryde
forhauad	angre / fortryde
forhobbad	medtaget
forhobbader	medtaget
forkle	forklæde
forpjøskad	forpjusket
forra	før
forrinj	førend
forstøgga	forvride
fortainj	træt, medtaget, udaset
forvats	forhånd (på)
fost	først
fostninj	begyndelse
fraja	fri
frambi	forbi
frammada	gæster
framtid	forår
frynja	rynke på næsen
frøst	frost
frøstbeddinj	kuldeskær
frøstjyllinj	kuldeskær person
fæggjas	kissemisse
fæggjas	kysse
fæjes	skynde
fækjødd	oksekød
fælâ	kostald
fæstenøl	trolovelsesgilde
fæsø	oksesuppe
fæzelit	forfærdelig meget
følla	følge
førd	tilflytter
førder	tilflytter
førvejslannes	forvekslende
fåje	lille, ubetydelig
fåje	næppe / knap nok
fâlia	meget, særdeles, overmåde
farja	farve
farja	fare, gris der føder
farras	larme, buldre, spektakel
fâster	faster, fars søster
fâst	fast
faun / fawn	favn
feila	fiolin
feliaboua	fiolinbue
fiene	fjende
fijngertüta	fingerhætte, fingerbøl
filkuet	glat, slibrig
fiskje	efterår
fissla	sladre, hemmelig bagvaske
fissletüt	fisler, øretuder
fissletüta	siges om kvindfolk
fittefad	fedtefad, komme i forlegenhed
fittefår	smøl, klodrian
fjäla	fylde i sig, proppe i sig
fjälehorn	pølsehorn (et redskab)
fjäska	trippe, sokke afsted, gå sagte og let
flabb	dum, uforskammet,
flabbatass	næsvis pige eller kone
flärka	sprælle med fødderne
flarra	skramme, rift
faninjahætte	arrigt kvindfolk
farras	skændes og lave larm
farru	rede, parat
farruer	rede, parat
fauna opp	rive sæd i bunker
fed mands plage	kløft i almindingen
figgafagga	pakkenelliker
firafittes	i fuld firspring
fiskjed	efterår
fittefår	smøl, klodrian
fizlønkad  (er)	kuldeslået
fizzelituta	en der insmigrer sig
fizzla	sladre, bagvaske
fjântu	pjattet, fjoget
fjântuer	pjattet, fjoget
fjællstawn	nattergal
flæmta	gispe efter vejret
fnâsu	hensynløs, ligegyldig
fnâsuer	hensynløs, ligegyldig
fnystra	fnise
forgrysd	forundret
forgrysder	forundret
forhobbad  (er)	medtaget af slid
forhoua	fortryde
forkunkla	bringe i urede
forta	skride rask fremad
frakk	frem, pralende
frakker	frem, pralende
frânglu  (er)	fregnet
frejera	spindelvæv
fryna	at rynke på næsen
fæjes	flirte (kys og kram)
fæsø	oksesuppe
gâda	gade
gaddelig	rigelig
gajlnerojs	overstadig fyr
gâla	gale, råbe skrige
galant	fin / nydelig
gallra	sortere
galnarojs	vildbasse
gammajls-åjler	alderdom
gamstajn	kalv
gâst	spøgelse
gâul	gavl
gâuls , på	på vid gab
gawnsgo	tjenstvillig
gjâre	gærde
gje	give
gjeddabuk	gedebuk
gjemijl	gavmild
gjemijler	gavmild
gjerru (er)	arbejdsom, flittig
gjessvassi	forkommende
gjessvassier	forkommende
gjewtefarru	giftefærdig (pige)
gjijle	gilde
gjimmene	gemmested
gjorra	gøre
gjorra	gørre
gjorra ota	stå tidligt op
gjorrviddinj	videbegærlig
gjykkelmâgara	spøgefugl, spasmager
gjynkel	byldt
gjædda	gætte
gjædda (en)	gedde
gjæjl	gæld
gjæjla	gælde
gjærna	gerne
gjæstabodd	selskab
gjæstar	gæster
gjæv	gæv
gjæver	gæv
gjæzlinj	gæsling
gjøj	gøg
gjøkkelmâgara	gøgler
glâna	glo, stirre
glâriven	briller
glâsara	glarmester
glosatter	rasende
glæ	glæde
glømminj	glemsom
gnaddri	gnaven
gnaddrier	gnaven
gnaggla	gnave
gnorra	knurre
gnå	lille arrig tingest
go	gud
goer	god
goll	gulv
gonn	såmænd så…
gosinjad	godhjertet
grajn	fin
grân	smule
grinja	rækværk, gitter
grota	prale
grunju	grublene, tankefuld
grunjuer	grublene, tankefuld
grynkla	klynke, småklage
gryza	gru, forskrækelse
græzænkj	græsenkemand
grøzzlu	grynet
grøzzluer	grynet
gråhajl	kampsten
gråv	grøft
gujl	guld
gæssby	indbyde
gånga	gynge
gångstogga	gående (efter sygdom eller barns første gang)
gåza	gase
gallra	sortere, udsøge
galnarojs	vild dreng
galtaspragla	stenbæk (plante)
gamstajn	kalv
gâst	genfærd
gesvassi  (er)	beleven, forekommende
gjelikk	rask, kvikt
gjemmene	det øverste af en sæk
gjeru  (er)	meget arbejdsom
gjimfujl	det dobbelte af en håndfuld
gjorrviddinj	videbegærlig
gjæstby	gæsteværelse
gloffa	hoste
glosa	være spydig
gniddra	smågrine
granj  (er)	med flotte farver
grinja	jerngelænder
gromma	mørkne (om vejret)
grynkla	småklynke
gulinj	stor sten i havet
gå å kåga	være hoven med næse i sky
gå å læza	gå til præst
gårdrønt	yngste søn på gården
gubba	olding. fabelvæsen.
hâ	have
habba	bide, snappa
hadde	havde
hâga	hage
hagga	en flot fyr (nedsættende)
hajl	hagl
hâla	trække, drage
halldan	sløj
halldan	middelmådig
halsbinje	halstørklæde
hâna	hane
hanj	han
hânkle	håndklæde
hâr	har
harda	tøve / vente
hâred	har det … godt, fint
harmse	harmfuld
harra	harve
haska	klatre
hat	haft
hâua	hue
hâud	hoved
hâupina	hovedpine
hâusa	huske
hawbrynja	strandkant
helu	masse
hez	hæs
hezer	hæs
hijnja	nå, indhente
hitt	fundet
hitta	finde
hitte	fandt
hivad	se dårlig ud / skrante
hodda	udhus
hojensint	hyacint
hojla	holde
hojøst	tale fint / fornemt
holl	hul
hondans	pokkers
honnu	honning
hoppenoller	æblerskiver
horra	dreng
horraknadrinj	magteløs dreng
hosamm	fornem
hosammer	fornem
hozza	strømpe
hozzenål	stoppenål
huinjta torrt	savne mad
hujnta	mangel
hunj	hund
hunjaraja	havloppe
hunjøla	firben
hut	lystre
huz	hus
huzakâta	usselt hus
hyvans	hurtigt / nemt
hyvens	gevaldigt
hæjla	hælde
hæjlu	dejlig, pragtfuld
hæjluer	dejlig, pragtfuld
hællømøssa	allehelgensdag
hælsa	hilse
hælsa (en)	helbred
hælten	halvdelen
hænnu	behændig
hænnua	dygtig til sit arbejde
hævl	høvl
høda	truer med hænderne
høddrar	ryster af kulde
høddrar	skutte sig af kulde
hønna	høne
høra	høre
høsta	høste
høstagjijle	høstgilde
hånnløst	kaste med ting uden at vide, hvor de ender
hånslångara	håndlanger
hårpajs	harpiks
habba	bide
habbeligrâs	barsk og bidende i sin tale
hagga	finmand
hallnad  (er)	fællesskab
halstøddinj	dreng på ca 14 år
hâmpa saj	klæde sig uordentlig
hâmpahuller	lavninger i pedersker
harda	tøve
harrabrer	bred over skuldrene
harrens hænner	plettet gøgeurt
hâuse	hastigt
hawbårn	havkanten
hawraknækkja	meget talende kvinde
haws	vås, vrøvl
hispedehasp	uden ord
homma	flytte sig
houaro	ro i sindet
hunjøla	firben
hæggja	vise omsorg for
hæjlued	kakkelovnskrogen
hæru	spættet
hæruer	spættet
høl	fordybning i vandløb
håananj rynemaj	uvejr med hagl og torden
i faggana	er på vej, står for døren
i åns	før, for et øjeblik siden
ibâg	bag ved
iblann	sommetider, undertiden
idâ	i dag
idå	ud af
ijen	igen
ijl (en)	ild
ijnjen	ingen
ikkje	ikke
ilæl	alligevel
im (enj)	damp
imæl	imellem
ina forr	bange for
inj	ind
injmâri	snedig, udspekuleret
injmârier	snedig, udspekuleret
innjan	inden
iva (et)	øje
iven	øjne
i rykkjatâl	i ubestemte perioder
igna	frygte for
ijlasedder	forhekset
ilidevæl	forbavelsesudbrud
ima	dampe
injsjøg  (er)	syg af mavepine
jâ	jeg
ja min sjænka	ja minsandten
jarn	jern
jarta	hjerte
jâulbør	trillebør
jawn	jævn
jawn me	i samme plan, niveau
jaøl	forlovelsesgilde
jimm	hjem
jimmer	hjemmet
jimmgjewt (en)	medgift, brudeudstyr
jimmsk	halvdum
jyjl	jul
jyjlen	julen
jyjlagass	julehygge
jyjlkat	pindsvin
jælpa	hjælpe
jøs	se godt ud
jøssa saj	pynte sig
jøsses	i..du alt forbarmende
jøttar	vipper / vugger
jawnsies	ved siden af hinanden
jiskersens	du godeste
jomfru krum	lærerinde i rønne
jomfrustykjed	areal i ibsker
jormånad	jordsmon
jylahalm	julegilde
jylalæwa	julebrød
jørnsa grøna ansjajt	23. april
jøtta	løfte
kaffedroz	kaffegrums
kâge	kage
kaja	alikke (fugl)
kajla	kalde
kaklun (enj)	kakkelovn
kammers	kammer
kanj	kan
kanj	kan
kantofla	kartoffel
kântu	kantet
kântuer	kantet
kappes (enj)	fyr, kæreste
kapsion	kaution
kar	mand
kar	vigtig, overlegen
kâr	kar
kârarækkja	tallerkenræke
karra	snitte i små stykker
karsvâusen	giftefærdig (pige)
kâsta	smide, kaste
kastrål	kasserolle
kattajaw	hasteværk
kjâul (enj)	kjole
kjela	kæle
kjesam (mer)	bedrøvet
kjijla	kilde
kjinka	kaste
kjita (en)	spand
kjiv å´d	ked af det
kjyjlemilk (en)	bollemælk
kjyla	melbolle
kjylj	kulde
kjæjhosta	kighoste
kjæjln (enj)	killing
kjæl (enj)	kedel
kjælinj	kælling
kjælinjabør	modvind
kjælka (enj)	kælke
kjænja	kende
kjænjedom (enj)	kundskab
kjærest (enj)	kæreste
kjærka	kirke
kjærna (enj)	kerne
kjærregår (enj)	kirkegård
kjæssa	en ketsjer til at fange noget med
kjætta (en)	hunkat
kjæwt (enj)	kind
kjæwtavarpa	grødske
kjøkka	tåge, dis
kjølna	fyrer op
kjøra	køre
kjøra rawkâna	rutsje nedad på røven
kjøs (enj)	kys
kjøssa	kysse
kjøvva	købe
klaun	kort reb
klava	klage, sladre
klavapinj	klavepind
klen	spinkel
klener	spinkel
klikk	klat af noget blødt
klikk	et lille smæld
klokka (en)	klokke
klæva	klodsmajor
klævsjijd	klodsmajor
klæwet	kløvet
kjølit	koldt
kløpfisk	klipfisk
kløppa (en)	klippe
kløz	klump af et eller andet.
kløz (enj)	jordklump
knabba	banke på, slå på en
knabba	en god portion
knadring	en der er lille af vækst
knarr	en knast i et træ
knul	knold
knul (enj)	knude, hævelse
knækkja	knække
knævær (enj)	undermåler, lille mand
knøddersten (ejn)	småsten
koll	kulde
kolør	farve
komfelut	konvelut
komma op idi´ed	komme galt afsted eller skændes
komma saj	tage på i vægt
komma te	blive født
kondevita (en)	åndsnærværelse
konna	kone
konner	koner
kopattaryzma	kaprifolium
korera	helbrede
korr	kurv
kos	kurs
kos	retning
koss	kors
koss i lidemaj væl	kors
koss i læl	kors
kossinj	frossen i finger eller tæer
krâda saj	modstridig
krajtur	kreatur
krakk (enj)	underskov, krat
kratta	klatre
krâu (enj)	kro
kravla	vikle, smøge
krisk	vammel
krisker	vammel
kriva	krybe
krivvel å kratt	møje og besvær
krægla	mundhugges,  kværulere
krønna	rømme sig
krøssa	knuse
kråga (en)	krage
kråguer	kroget
krakka sijl	ristet sild i kakkelovn
kun	først
kunja	kunne
kunje	kunne
kuta	kludre
kæmpa	kæmpe
kåjl	kold
kåjlebøtta	forlæns kolbøtte
kaffedrivara	snaps efter kaffe
kalladajns	mælke ret
kaperøllika	folkedans
karadolk	lille mandsperson
karolius	skær ved listed
karsnudader	kæphøj
kâsa	gå klodset, skødeløst
kâst	4 stk. sild
kattaiven	små arter af forglemmigej
kattajau	hasteværk
kattamorra	hjemmelavet legetøj
kattasværra	leg på isen
kattaørn	klippe ved allinge
kattøggla	natugle
kjita	spand
kjylemåns	frostperiode
kjæjllnj	killing
kjælinjabør	modvind
kjælinjatænner	kodriver (blomst)
kjænjespâg	har let ved at genkende
kjænjespâger	har let ved at genkende
kjæppstok	del af arbejdsvogn
kjæra	bede indtrængende
kjøddtønjan	stor sten i havet
kladd	gammelt klædningsstykke
klæw	brændeklos
klæwhuz	hus i østerlars
knarr	knast i træ
kniggla	vaklende gang
knøddersten	småsten i vejbelægningen
kopattaryzmer	kaprifolier
krâda	gammel hest
krak	lille, lav skov
krakkaballra	snakkesalig kvinde
krikk	gammel dårlig gående mand
krunekar	stor, flot mand
krusekâga	julebrød
krøk	skrantende person
krømpa	kortspilregnskab
krångla	kværulere
kåsaknajl	fiskegrund ved arnager
kåsatøjed	fiskegrund ved arnager
lided	et lille barn
lâ	lade (stald)
lagna	opløses
lajerstâ	gravsted
lajnta	længes
lajs	laks
lajsa (en)	lektie
larka	lærke
larrit	lærred
lâurda	lørdag
lâuta	lugte
lawa	lave
lâzuer	laset, pjaltet
le	kant, led, retning
ledda	led, låge
lemydier	smidig
lid	lidt
lida på	stole på
lidinj	lille
liggja	ligge
liva	lyve
livæl	alligevel
lojnprost	løgnhals
lojntromma	løgnhals
lojta	lygte
lokka	lykke
lunagoer	lunefuld
lunago	lunefuld
luzablødda	lille kraftig regnbyge
luzagâda	ryg (på et menneske)
luzarævka	lusekrog (skældsord)
lyes	lytter
lyes te	lytte med skeptis
lykkja	løkke
lyz	lys
læggja	lægge
læj	lig
læja	lege
læje	lige
lælle	varsomt, sagte
lær	læder
læwa	leve
læwa	læbe
læza	læse
læzebælli	konfirmand
løddabojser	hængerøvs bukser
løjne	læ
løjta	lygte
løn	lodden
løtt	byrde, løft, tungt løft
løva	løbe
løvenasjøtt	ustyrlig
løvvebasjytt	vagabond
løvved	løbet
lång	lang
långlajd	langagtig i ansigtet
långlajder	langagtig i ansigtet
lårlønkad	lunken (om temeratur)
labatter	fødder
laggna	opløses (sukker i kaffe)
lajlaplugga	æbelsort
lajsa	lektie
lausurt	gul okseøje (blomst)
lemydi	smidig, bøjlig
lemydier	smidig, bøjlig
lissinj	lille
lobbaholl	sumpet sted i skov
lorja	fladbundet båd
lætthænd  (er)	venstrehåndet
lævskræj	løvfrø
læwahuzed	hus i rutsker
lødda	klippe får
løvvenasjytt	vagabond
(i) marken	på besøg
mâd	mad
mâdafåninj	spisning
mâdago	en der laver god mad og ikke er kneben med den
mâdakarpa	madkasse
mâdatid	spisetid
madk	orm, larve
madkådinj	mølædt
mâdmijl	gavmild med mad
mâdurtahawa	køkkenhave
mâdurter	grøntsager
magga sammen	sætte noget sammen, f.eks et brev
majt	magt
mâlurt	malurt
mariblomma	bellis
maripyjta	mariehøne
markløst	uden for vej og sti
mârn	morgen
mârnmål	morgenmad
marsa	marchere,  gå af sted, gå
me	med
meddesmål	middagsmåltid
men	kun
mena om	holder af
mena om	holde af (jeg elsker hende)
mijl	mild
mijnstinj	yngste i familien
milk	mælk
misunjse	misundelig
moer	mor
molka	malke
mollesjøsk	nedtrykt, surmulende
mollesjøsker	nedtrykt, surmulende
mollu (er)	muggen (brød ost osv)
morkj	mørk
morkjbånge	mørkeræd
mosta	at støde
munj	mund
muz	mus
mæljyl	mellemjul
mænjeske	menneske
mænn	kun
mæst	næsten
mæstapârt	størstedel
møss	flere mus
møssa	ballade, uro
målbrøg	sprogbrug
måna	måne
månad	måned
månkera	mangle
majnsa	sildegarn med tilbehør
mâjor	engjord
maksel	klamphuggerarbejde
markløst	gå uden for almindelig vej
meieradrønt	gilde for mejerne
melpave	mark i knudsker
milkatistel	løvetand (blomst)
moffla	prygle, slå løs på
mollesjøsk	surmulende, deprimeret
mollesjøsker	surmulende, deprimeret
mollèt	tabel (lille, stor)
mollevet	menuet
mozzika	skovmærke (plante)
møjdrøssa	urenligt kvindfolk
møllenakka	klippeodde ved svaneke
møsslijng	pelskrave eller kant
nabbas	mundhugges
nâd	noget
naggu	ond/ondskabsfuld
naj	nej
najenhora	nøgen jomfru
najinj	nøgen
najl	negl
nânj	nogen
narrafass	naragtig person
nâue	næppe
ner	ned
nera	nede
niggel	nøgle
nikka å	dø
nikkaløz	leddeløs
niva	brug af fingerspidser, evt salt
nobbesahorra	kæledægge
nogged	noget
nogginj	nogen
nonna	nogle
noran	nordlig
norr	nord
norta	småstjæle
nula	sove lidt
nutijdens	nutidens
nuul	en lille blund
nykommed	nyt og behageligt
nytænninj	nymåne
næbb	næb
nætt	køn, pæn
nætter	køn, pæn
nætter	fin
næzeklud	lommetørklæde
nøijer	dårlig
nøjer	små skavanker
nømma	fatte, nemme
nømminj	let at forstå
nømminj	letopfattende
nøp	lige ved
nøppinj	nippet
nørl	lidt nedsættende om en der arbejder langsomt
nørla	gå,  arbejde langsomt
nåli	ynkelig, syg, elendig
nålier	ynkelig, syg, elendig
nåsammer	sløj, ynkelig
nagg	nøgen
nagger	nøgen
narkjinj	begærlig
nattlyz	krokus
nâuehænn	med nød og næbbe
nidder	garn til sildenet
noldus	fiskegrund ved rønne
nul	blund, lille søvn
nøjer	skrøbeligheder
nøppehuz	hus i rø
nøssel	en der arbejder men ikke udretter meget
nårta	raspe
ojn	ung
ojsa	økse
omgångsmænnjeske	fattiglem
onsinjad	ondsindet
opp i di`ed	uenige
oppa	oppe
oppendawad	opstemt
oppenholler	æbleskiver
oppidi	pilfinger
opplokkad	kød og kartofler branket på en pande
oppsnudad	storsnuet, næsvis
opptojad	optøet
oppvigling	oprør. ophidset til modstand
opsternâsi	trodsig, opsætsig
opsternâsier	trodsig, opsætsig
opsyn	udseende
orstæv	ordsprog
ota	ofte
otast	oftest
ovver	over vandet til f. eks københavn
oasâninj	sandstrækning på hammeren
olagrân	ganske lidt
oles bæstemoer	sten på stranden ved ypnasted
olja	trug til kreaturvanding
onkel og tante	2 klipper ved aarsdale
oppendauad	oprømt, kåd, vild
oppendauader	oprømt, kåd, vild
oppsyn	udseende (især ansigt)
opviglara	urostifter
orstæw	mundheld
ouanrè	overdel til en vogn eller andet
paja	pige på landet
pâl	tyk stok
palta på saj	klæde sig i meget tøj
palthest	klatkage
panja	pande
panjejarn	pandejern
papper	papir
partu	absolut
pensker	fintspisende
pensk	fintspisende
pensker	små spisende
permedikkel	pendul
pibel	pige
piblastabba	teenagepige
pinjes	pinse
pinjstagg	hundestejle
pinkas	parre sig
pirkivad	klatøjet
pjæw	hypokonder
plasér	morskab
plasérlier	morsom
plasérli	morsom
plaserlig	fornøjelig
plokgjæjl	klatgæld
plokka	plukke
pløddra	mudder, søle
plåster	plaster
possa	pose
postinokka	pastinak
pottera	pottemager
prekkevert	pillen. nøjeregnende
prigg	ringeagtende udtryk
prigga	prikke, stikke
prikkeverd	nøjeregende, pertenlig
prikkeverder	nøjeregende, pertenlig
prost	provst
præka	snakke
prækara	prædikant. en der snakker meget
præstakrawa	pinselilje
prøns	prins
pugga	frø  (dyr, ikke plante)
pugga mæ fyjl	chokoladefrø med fyld
pyta	høne
pytt	prut
pælsaralaw	komplot, dårlig selskab
pænja	penge
pøvver	peber
på stunjen	ligestraks
påhitt	påfund
pånå	omtrent
påpaltad	påklædt varmt vintertøj
påpaltader	påklædt varmt vintertøj
påsætter	påtrængende
påzla	pusle
palthest	lille pandekage
peis	smule
perkivad	klatøjet
perkivader	klatøjet
piblastabba	pige på 16-17 år
pilalakken	forundringsudtryk
pjugg	kort tobakspibe
poppersi	apoplexi, slagtilfælde
prunt	punktligt, grundigt
prøvvernikka	konavn
puggemâd	andemad (det grønne på dammen)
pustfujl  (er)	stakåndet
på fajlena fødder	kvinde gravid på 9. måned
på stunjen	om en øjeblik
påpaltad	meget varmt påklædt
påpaltader	meget varmt påklædt
påstæt  (er)	påtrængende
raspa	en uanstændig fræk kvinde
râ	rent, korrekt
rabbar å	går nogenlunde
rabbelikrassa	rappenskralde
râger	ret, rank
râr	sjælden
râr	nydelig, smuk
ravina	nar , fjante
rawsa	rive
râzapaz	spilopmager
rékomm	redekam
resa	rejse
rijsdansk	rigsdansk
rijsspråg	rigssprog
rinj	ring
ripa	gavmild
rogga	fyge
rolisinja	rolig, sindig
rolisinjaer	rolig, sindig
rompa	rumpe
runjlad	rund (om en person)
runjlader	rund (om en person)
